program_id,result_binary,gpa_normalized,gre_quant,gre_verbal,toefl,undergrad_tier_encoded,intern_score,intern_count,research_score,is_international,is_female,major_relevance_score,has_paper,has_research
6,1,3.8,164.0,167.0,,,,,0,1.0,,,,
1,0,3.2,140.0,167.0,,,,,0,1.0,,,,
18,0,3.78,162.0,167.0,,,,,0,0.0,,,,
1,1,3.1,155.0,170.0,,,,,0,1.0,,,,
18,0,3.98,160.0,162.0,,,,,0,0.0,,,,
10,1,3.58,159.0,170.0,,,,,0,1.0,,,,
20,1,3.48,159.0,163.0,,,,,0,0.0,,,,
6,1,4.0,160.0,170.0,,,,,0,1.0,,,,
18,0,4.0,153.0,168.0,,,,,0,1.0,,,,
18,0,3.28,165.0,168.0,,,,,0,1.0,,,,
18,1,4.0,157.0,168.0,,,,,0,0.0,,,,
23,0,3.5,154.0,159.0,,,,,0,1.0,,,,
18,0,3.8,149.0,170.0,,,,,0,1.0,,,,
10,0,3.9,152.0,170.0,,,,,0,1.0,,,,
23,1,3.82,143.0,167.0,,,,,0,1.0,,,,
5,1,3.8,149.0,170.0,,,,,0,1.0,,,,
1,0,3.83,143.0,167.0,,,,,0,1.0,,,,
1,1,3.99,154.0,170.0,,,,,0,1.0,,,,
10,1,4.0,170.0,160.0,,,,,0,1.0,,,,
10,0,3.25,158.0,167.0,,,,,0,1.0,,,,
23,0,3.4,155.0,165.0,,,,,0,1.0,,,,
8,1,3.8,149.0,170.0,,,,,0,1.0,,,,
20,1,3.08,164.0,170.0,,,,,0,1.0,,,,
23,1,3.4,150.0,170.0,,,,,0,1.0,,,,
20,1,3.58,155.0,164.0,,,,,0,0.0,,,,
25,0,3.54,155.0,163.0,,,,,0,1.0,,,,
8,1,3.3,164.0,,,,,,0,1.0,,,,
8,1,3.9,168.0,,,,,,0,1.0,,,,
25,1,3.85,168.0,167.0,,,,,0,0.0,,,,
23,0,3.63,161.0,165.0,,,,,0,1.0,,,,
4,0,3.89,170.0,160.0,,,,,0,1.0,,,,
23,1,3.3,164.0,169.0,,,,,0,0.0,,,,
6,1,3.9,159.0,170.0,,,,,0,0.0,,,,
1,0,3.84,162.0,169.0,,,,,0,1.0,,,,
25,0,3.9,165.0,168.0,,,,,0,0.0,,,,
1,0,3.63,161.0,165.0,,,,,0,1.0,,,,
8,1,3.49,164.0,155.0,,,,,0,1.0,,,,
8,0,3.88,166.0,155.0,,,,,0,1.0,,,,
1,0,4.0,163.0,170.0,,,,,0,1.0,,,,
31,1,3.8,164.0,165.0,,,,,0,0.0,,,,
