program_id,school,program,result,season,out_date,submit_date,method,tid,fin
162,COLUMBIA,FE,AD无奖,2020 Fall,2020-02-27,2020-01-03,邮件,0,自费AD
162,COLUMBIA,FE,AD无奖,2020 Fall,2020-02-28,2020-01-02,邮件,0,自费AD
162,COLUMBIA,FE,AD无奖,2020 Fall,2020-02-27,2020-01-04,邮件,0,自费AD
162,COLUMBIA,FE,AD无奖,2020 Fall,2020-02-27,2019-12-15,邮件,0,自费AD
162,COLUMBIA,FE,AD无奖,2020 Fall,2020-02-12,2019-12-08,邮件,0,自费AD
162,COLUMBIA,FE,AD无奖,2020 Fall,2020-02-11,2020-01-04,邮件,0,自费AD
162,COLUMBIA,FE,AD无奖,2020 Fall,2020-02-19,2020-02-06,邮件,0,自费AD
162,COLUMBIA,FE,AD无奖,2020 Fall,2020-02-11,2019-12-31,书面,0,自费AD
162,COLUMBIA,FE,AD无奖,2020 Fall,2020-02-11,2019-12-01,邮件,0,自费AD
170,COLUMBIA,MAFN,AD无奖,2025 Fall,2025-04-25,,,0,自费AD
170,COLUMBIA,MA in Mathematics of Finance,AD无奖,2023 Fall,2023-03-13,2023-01-15,邮件,0,
170,COLUMBIA,MAFN,AD无奖,2023 Fall,2023-01-31,2023-01-03,邮件,0,
170,COLUMBIA,MA in Mathematics of Finance,Reject,2023 Fall,2023-02-21,2023-01-07,邮件,0,
170,COLUMBIA,MAFN,Waiting,2023 Fall,2023-02-21,2022-12-27,网申,0,
170,COLUMBIA,MAFN,Reject,2023 Fall,2023-02-11,2022-11-15,网申,0,
170,COLUMBIA,MAFN,Waiting,2023 Fall,2023-01-19,2022-12-29,网申,0,
