id,gender,bg_type,nationality,gpa,gpa_scale,gre,toefl,major,intern_desc,has_paper,has_research,courses_note,program,result,season,source
134,unknown,,,,4,,,,,不明,不明,,mit-mfin,waitlisted,13Fall,gradcafe
135,unknown,,其他国际,,4,,,,,不明,不明,,mit-mfin,accepted,11Fall,gradcafe
136,unknown,,其他国际,3.65,4,,,,,不明,不明,,mit-mfin,rejected,17Fall,gradcafe
137,unknown,,其他国际,3.69,4,170,,,,不明,不明,,mit-mfin,rejected,19Fall,gradcafe
138,unknown,,其他国际,3.7,4,168,,,,不明,不明,,mit-mfin,rejected,20Fall,gradcafe
139,unknown,,其他国际,4.0,4,,,,,不明,不明,,mit-mfin,rejected,26Fall,gradcafe
140,unknown,,其他国际,,4,,,,,不明,不明,,stanford-mcf,accepted,12Fall,gradcafe
141,unknown,,其他国际,3.9,4,800,,,,不明,不明,,stanford-mcf,rejected,12Fall,gradcafe
142,unknown,,美籍,,4,,,,,不明,不明,,stanford-mcf,rejected,11Fall,gradcafe
143,unknown,,其他国际,4.0,4,800,,,,不明,不明,,stanford-mcf,accepted,11Fall,gradcafe
144,unknown,,美籍,,4,780,,,,不明,不明,,stanford-mcf,rejected,10Fall,gradcafe
145,unknown,,美籍,4.0,4,166,,,,不明,不明,,stanford-mcf,accepted,16Fall,gradcafe
146,unknown,,美籍,3.4,4,,,,,不明,不明,,stanford-mcf,accepted,26Fall,gradcafe
147,unknown,,美籍,3.94,4,,,,,不明,不明,,stanford-mcf,rejected,26Fall,gradcafe
148,unknown,,其他国际,3.5,4,168,,,,不明,不明,,uchicago-msfm,rejected,,gradcafe
149,unknown,,其他国际,3.6,4,170,,,,不明,不明,,uchicago-msfm,accepted,21Fall,gradcafe
150,unknown,,其他国际,,4,,,,,不明,不明,,uchicago-msfm,accepted,10Fall,gradcafe
151,unknown,,美籍,3.97,4,,,,,不明,不明,,uchicago-msfm,accepted,21Fall,gradcafe
152,unknown,,其他国际,3.53,4,170,,,,不明,不明,,uchicago-msfm,accepted,20Fall,gradcafe
153,unknown,,美籍,3.88,4,790,,,,不明,不明,,uchicago-msfm,rejected,13Fall,gradcafe
154,unknown,,其他国际,3.7,4,163,,,,不明,不明,,uchicago-msfm,rejected,12Fall,gradcafe
155,unknown,,其他国际,,4,,,,,不明,不明,,uchicago-msfm,rejected,11Fall,gradcafe
156,unknown,,美籍,3.86,4,,,,,不明,不明,,uchicago-msfm,accepted,26Fall,gradcafe
157,unknown,,美籍,3.6,4,326,,,,不明,不明,,uchicago-msfm,accepted,26Fall,gradcafe
158,unknown,,其他国际,,4,,,,,不明,不明,,cornell-mfe,accepted,11Fall,gradcafe
159,unknown,,其他国际,3.6,4,800,,,,不明,不明,,cornell-mfe,accepted,10Fall,gradcafe
160,unknown,,其他国际,3.8,4,,,,,不明,不明,,cornell-mfe,accepted,26Fall,gradcafe
161,unknown,,其他国际,4.0,4,,,,,不明,不明,,cornell-mfe,accepted,26Fall,gradcafe
162,unknown,,其他国际,,4,,,,,不明,不明,,cornell-mfe,rejected,26Fall,gradcafe
163,unknown,,美籍,3.66,4,,,,,不明,不明,,cornell-mfe,accepted,26Fall,gradcafe
164,unknown,,美籍,4.0,4,,,,,不明,不明,,cornell-mfe,rejected,26Fall,gradcafe
165,unknown,,美籍,3.97,4,,,,,不明,不明,,cornell-mfe,accepted,26Fall,gradcafe
166,unknown,,美籍,3.88,4,,,,,不明,不明,,cornell-mfe,accepted,26Fall,gradcafe
167,unknown,,美籍,3.94,4,,,,,不明,不明,,cornell-mfe,rejected,,gradcafe
168,unknown,,美籍,3.69,4,,,,,不明,不明,,cornell-mfe,accepted,26Fall,gradcafe
169,unknown,,其他国际,3.9,4,,,,,不明,不明,,cornell-mfe,rejected,26Fall,gradcafe
170,unknown,,其他国际,3.79,4,168,,,,不明,不明,,nyu-tandon-mfe,waitlisted,21Fall,gradcafe
171,unknown,,其他国际,,4,,,,,不明,不明,,nyu-tandon-mfe,waitlisted,13Fall,gradcafe
172,unknown,,其他国际,3.28,4,800,,,,不明,不明,,nyu-tandon-mfe,accepted,,gradcafe
